Supplier Name, Hydrologic Region, State-mandated Conservation Standard - Previous (3/1/2016), State-mandated Conservation Standard - Current (Effective 6/1/2016), Did Supplier Self-certify?, Enforceable Cumulative Percent Savings (as compared to 2013) - June 2015-Aug 2016, June 2016 to Aug 2016 Self-certified?, Applicable Cumulative Savings by Supplier (as compared to 2013), Missed Conservation Standard By, Order Status, Monthly Savings (as compared to 2013) - Aug 2015, Monthly Savings (as compared to 2013) - Aug 2016, Estimated Aug 2016 Monthly R-GPCD, Total Population Served
California City  City of,South Lahontan,28%,28%,No,13.1%,18.0%,13.1%,14.9%,C,16.8%,20.5%,148.5,"14,120"
Golden State Water Company Placentia,South Coast,17%,0%,Yes,23.3%,18.9%,18.9%,-18.9%,,30.8%,16.9%,98.9,"46,543"
Lee Lake Water District,South Coast,31%,0%,Yes,23.3%,18.9%,18.9%,-18.9%,,39.7%,-0.9%,194.5,"15,543"
Cucamonga Valley Water District,South Coast,30%,0%,Yes,24.6%,18.9%,18.9%,-18.9%,,28.8%,15.9%,162.2,"204,002"
Suburban Water Systems Whittier/La Mirada,South Coast,28%,0%,Yes,22.0%,18.9%,18.9%,-18.9%,,23.7%,18.1%,119.3,"115,000"
California Water Service Company Stockton,San Joaquin River,18%,0%,Yes,21.9%,19.0%,19.0%,-19.0%,,24.8%,16.4%,85.8,"171,350"
Sweetwater Authority,South Coast,8%,0%,Yes,20.3%,19.0%,19.0%,-19.0%,,24.8%,18.1%,68.5,"188,886"
Reedley  City of,Tulare Lake,22%,0%,Yes,21.7%,19.1%,19.1%,-19.1%,,19.2%,23.9%,106.7,"24,194"
Roseville  City of,Sacramento River,25%,0%,Yes,30.2%,19.1%,19.1%,-19.1%,,37.3%,17.2%,166.4,"129,262"
Buena Park  City of,South Coast,13%,0%,Yes,22.4%,19.1%,19.1%,-19.1%,,20.4%,14.2%,97.7,"83,347"
Santa Monica  City of,South Coast,20%,0%,Yes,19.6%,19.1%,19.1%,-19.1%,,20.7%,20.0%,79.4,"93,640"
California Water Service Company Visalia,Tulare Lake,29%,0%,Yes,24.3%,19.2%,19.2%,-19.2%,,24.7%,16.0%,169.7,"141,298"
Newport Beach  City of,South Coast,21%,0%,Yes,21.5%,19.2%,19.2%,-19.2%,,19.5%,15.0%,122.3,"66,550"
Glendale  City of,South Coast,18%,0%,Yes,21.1%,19.2%,19.2%,-19.2%,,24.1%,19.0%,93.2,"193,300"
Healdsburg  City of,North Coast,24%,0%,Yes,25.4%,19.3%,19.3%,-19.3%,,25.6%,16.0%,124.7,"11,815"
Walnut Valley Water District,South Coast,26%,0%,Yes,23.4%,19.3%,19.3%,-19.3%,,29.9%,20.5%,144.7,"113,236"
Hanford  City of,Tulare Lake,23%,0%,Yes,17.8%,19.4%,19.4%,-19.4%,,5.7%,17.2%,216.6,"59,338"
Martinez  City of,San Francisco Bay,20%,0%,Yes,31.2%,19.4%,19.4%,-19.4%,,31.0%,18.6%,45.3,"35,375"
Coalinga City of,Tulare Lake,30%,5%,Yes,29.4%,24.5%,24.5%,-19.5%,,28.7%,16.3%,186.7,"16,529"
Hemet  City of,South Coast,14%,0%,Yes,19.9%,19.5%,19.5%,-19.5%,,30.9%,21.1%,96.0,"29,982"
Wasco  City of,Tulare Lake,32%,17%,Yes,27.5%,36.7%,36.7%,-19.7%,,22.2%,29.5%,108.0,"26,159"
Shafter  City of,Tulare Lake,32%,0%,Yes,23.8%,19.7%,19.7%,-19.7%,,30.2%,17.6%,178.8,"18,488"
Tracy  City of,San Joaquin River,25%,0%,Yes,25.2%,19.7%,19.7%,-19.7%,,31.3%,18.3%,151.2,"89,208"
Victorville Water District,South Lahontan,24%,0%,Yes,23.7%,19.8%,19.8%,-19.8%,,29.4%,17.8%,134.6,"124,120"
Davis  City of,Sacramento River,25%,0%,Yes,25.4%,19.9%,19.9%,-19.9%,,28.1%,15.3%,128.2,"68,320"
"Kerman, City of",Tulare Lake,29%,0%,Yes,25.7%,19.9%,19.9%,-19.9%,,22.4%,14.8%,183.7,"14,359"
Discovery Bay Community Services District,San Joaquin River,29%,0%,Yes,33.0%,20.0%,20.0%,-20.0%,,37.7%,21.2%,191.2,"15,057"
East Niles Community Service District,Tulare Lake,33%,0%,Yes,26.7%,20.1%,20.1%,-20.1%,,29.7%,15.9%,206.5,"31,772"
Clovis  City of,Tulare Lake,33%,0%,Yes,28.0%,20.1%,20.1%,-20.1%,,32.5%,16.9%,185.5,"111,927"
Millbrae  City of,San Francisco Bay,16%,0%,Yes,21.9%,20.1%,20.1%,-20.1%,,22.8%,22.3%,72.4,"21,532"
California Water Service Company Mid Peninsula,San Francisco Bay,16%,0%,Yes,23.2%,20.2%,20.2%,-20.2%,,30.9%,23.7%,73.6,"135,453"
Rancho California Water District,South Coast,32%,0%,Yes,26.6%,20.2%,20.2%,-20.2%,,25.0%,19.0%,249.9,"149,154"
Redlands  City of,South Coast,33%,0%,Yes,22.8%,20.3%,20.3%,-20.3%,,22.0%,20.5%,219.8,"85,276"
Ramona Municipal Water District,South Coast,20%,0%,Yes,26.6%,20.3%,20.3%,-20.3%,,30.3%,15.0%,155.0,"36,564"
Beverly Hills  City of,South Coast,32%,0%,Yes,20.1%,20.3%,20.3%,-20.3%,,17.5%,19.6%,132.5,"51,403"
Pico Water District,South Coast,18%,0%,Yes,20.4%,20.3%,20.3%,-20.3%,,26.2%,17.3%,102.9,"25,284"
San Juan Capistrano  City of,South Coast,27%,0%,Yes,22.0%,20.4%,20.4%,-20.4%,,26.1%,20.3%,111.4,"39,189"
Park Water Company,South Coast,8%,0%,Yes,21.1%,20.4%,20.4%,-20.4%,,19.0%,15.6%,54.5,"125,784"
Blythe  City of,Colorado River,28%,0%,Yes,16.6%,20.4%,20.4%,-20.4%,C,13.3%,22.9%,171.7,"13,839"
California Water Service Company Palos Verdes,South Coast,36%,0%,Yes,26.2%,20.4%,20.4%,-20.4%,,28.4%,20.2%,207.7,"69,997"
Pomona  City of,South Coast,18%,0%,Yes,22.7%,20.4%,20.4%,-20.4%,,24.3%,21.5%,97.0,"155,604"
Padre Dam Municipal Water District,South Coast,12%,0%,Yes,24.9%,20.5%,20.5%,-20.5%,,29.8%,17.6%,99.7,"88,995"
Rosamond Community Service District,South Lahontan,24%,0%,Yes,25.4%,20.6%,20.6%,-20.6%,,28.8%,15.6%,140.4,"17,700"
La Palma  City of,South Coast,13%,0%,Yes,22.1%,20.7%,20.7%,-20.7%,,26.7%,19.7%,87.0,"15,896"
Golden State Water Company Cordova,Sacramento River,32%,0%,Yes,28.0%,20.8%,20.8%,-20.8%,,36.4%,17.2%,228.1,"43,767"
Ventura County Waterworks District No. 8,South Coast,26%,0%,Yes,26.4%,20.9%,20.9%,-20.9%,,26.9%,17.2%,146.1,"90,687"
Pismo Beach  City of,Central Coast,22%,0%,Yes,23.2%,20.9%,20.9%,-20.9%,,25.5%,23.0%,104.3,"7,861"
Redding  City of,Sacramento River,33%,0%,Yes,26.4%,20.9%,20.9%,-20.9%,,31.7%,15.2%,260.0,"91,207"
Tustin  City of,South Coast,21%,0%,Yes,24.8%,20.9%,20.9%,-20.9%,,26.2%,19.1%,142.8,"67,700"
Sweetwater Springs Water District,North Coast,16%,0%,Yes,22.4%,20.9%,20.9%,-20.9%,,25.6%,19.0%,78.8,"7,801"
Georgetown Divide Public Utilities District,Sacramento River,29%,0%,Yes,25.2%,21.0%,21.0%,-21.0%,,31.0%,15.1%,214.1,"9,035"
California Water Service Company Marysville,Sacramento River,21%,0%,Yes,23.4%,21.0%,21.0%,-21.0%,,30.0%,14.4%,138.5,"12,226"
San Bernardino County Service Area 70J,South Coast,24%,0%,Yes,23.6%,21.0%,21.0%,-21.0%,,29.5%,16.2%,122.4,"11,577"
Crescenta Valley Water District,South Coast,18%,0%,Yes,24.8%,21.0%,21.0%,-21.0%,,29.2%,21.2%,110.6,"32,385"
Upland  City of,South Coast,34%,0%,Yes,25.9%,21.1%,21.1%,-21.1%,,33.1%,19.8%,198.9,"76,469"
Sacramento Suburban Water District,Sacramento River,29%,0%,Yes,28.1%,21.1%,21.1%,-21.1%,,31.6%,14.2%,162.6,"176,259"
Banning  City of,Colorado River,28%,0%,Yes,26.9%,21.1%,21.1%,-21.1%,,29.0%,17.2%,155.8,"30,325"
Golden State Water Company Bay Point,San Francisco Bay,12%,0%,Yes,22.8%,21.3%,21.3%,-21.3%,,27.4%,20.5%,63.7,"22,258"
Redwood City  City of,San Francisco Bay,8%,0%,Yes,23.6%,21.3%,21.3%,-21.3%,,42.0%,30.5%,69.5,"87,023"
Fountain Valley  City of,South Coast,13%,0%,Yes,22.0%,21.3%,21.3%,-21.3%,,22.1%,18.9%,50.0,"59,227"
Indio  City of,Colorado River,27%,0%,Yes,22.4%,21.3%,21.3%,-21.3%,,22.4%,17.0%,165.4,"88,411"
Soquel Creek Water District,Central Coast,8%,8%,No,29.4%,27.1%,29.4%,-21.4%,,30.9%,29.3%,58.6,"40,410"
Lincoln Avenue Water Company,South Coast,26%,0%,Yes,29.0%,21.5%,21.5%,-21.5%,,29.3%,19.4%,123.6,"16,126"
Westborough Water District,San Francisco Bay,8%,0%,Yes,23.1%,21.6%,21.6%,-21.6%,,9.2%,-0.1%,50.5,"14,050"
Manteca  City of,San Joaquin River,27%,0%,Yes,27.9%,21.6%,21.6%,-21.6%,,28.4%,18.4%,299.3,"76,986"
Santa Clara  City of,San Francisco Bay,16%,0%,Yes,22.6%,21.6%,21.6%,-21.6%,,32.5%,24.8%,69.5,"120,973"
San Gabriel Valley Fontana Water Company,South Coast,26%,0%,Yes,25.5%,21.7%,21.7%,-21.7%,,32.7%,21.5%,125.1,"209,035"
Lamont Public Utility District,Tulare Lake,25%,0%,Yes,22.9%,21.7%,21.7%,-21.7%,,26.7%,19.7%,146.8,"20,009"
San Bernardino  City of,South Coast,24%,0%,Yes,24.4%,21.8%,21.8%,-21.8%,,33.6%,23.8%,143.5,"199,634"
Marina Coast Water District,Central Coast,11%,11%,No,32.8%,34.9%,32.8%,-21.8%,,32.4%,34.8%,59.7,"34,235"
Fair Oaks Water District,Sacramento River,33%,0%,Yes,32.1%,21.8%,21.8%,-21.8%,,36.6%,20.5%,282.2,"36,226"
Lakeside Water District,South Coast,12%,0%,Yes,24.3%,21.8%,21.8%,-21.8%,,26.8%,18.9%,99.6,"35,500"
Tuolumne Utilities District,San Joaquin River,21%,0%,Yes,28.1%,21.8%,21.8%,-21.8%,,35.8%,18.4%,140.5,"30,809"
Valencia Water Company,South Coast,21%,0%,Yes,28.1%,21.9%,21.9%,-21.9%,,35.9%,17.0%,156.3,"97,300"
Sunny Slope Water Company,South Coast,22%,0%,Yes,25.5%,22.0%,22.0%,-22.0%,,27.7%,19.8%,100.4,"30,700"
Monte Vista Water District,South Coast,22%,0%,Yes,22.5%,22.0%,22.0%,-22.0%,,25.0%,19.9%,102.1,"55,995"
Santa Paula  City of,South Coast,26%,0%,Yes,24.0%,22.0%,22.0%,-22.0%,,31.4%,24.3%,99.2,"30,009"
Suburban Water Systems San Jose Hills,South Coast,22%,0%,Yes,23.2%,22.0%,22.0%,-22.0%,,26.3%,19.9%,102.5,"178,500"
Elk Grove Water Service,Sacramento River,25%,0%,Yes,31.8%,22.0%,22.0%,-22.0%,,36.8%,20.0%,143.9,"44,335"
Myoma Dunes Mutual Water Company,Colorado River,32%,0%,Yes,29.3%,22.1%,22.1%,-22.1%,,30.2%,14.9%,274.7,"8,948"
Oildale Mutual Water Company,Tulare Lake,31%,0%,Yes,27.0%,22.1%,22.1%,-22.1%,,29.4%,23.2%,212.3,"34,133"
Golden State Water Company San Dimas,South Coast,26%,0%,Yes,26.9%,22.1%,22.1%,-22.1%,,34.1%,18.8%,138.8,"54,872"
Diablo Water District,San Joaquin River,23%,0%,Yes,29.6%,22.3%,22.3%,-22.3%,,32.6%,20.5%,134.1,"35,646"
Groveland Community Services District,San Joaquin River,21%,0%,Yes,25.3%,22.3%,22.3%,-22.3%,,29.7%,12.3%,144.5,"3,400"
Golden State Water Company Simi Valley,South Coast,22%,0%,Yes,30.4%,22.3%,22.3%,-22.3%,,36.3%,18.4%,111.1,"43,351"
Indian Wells Valley Water District,South Lahontan,32%,0%,Yes,23.6%,22.3%,22.3%,-22.3%,,19.9%,23.8%,197.6,"31,120"
Madera  City of,San Joaquin River,26%,0%,Yes,24.7%,22.3%,22.3%,-22.3%,,25.8%,21.6%,107.1,"65,474"
Coachella Valley Water District,Colorado River,32%,0%,Yes,24.8%,22.4%,22.4%,-22.4%,,26.5%,15.0%,258.3,"318,217"
Morgan Hill  City of,Central Coast,27%,0%,Yes,31.8%,22.4%,22.4%,-22.4%,,34.3%,18.5%,131.1,"40,807"
California-American Water Company Los Angeles District,South Coast,26%,0%,Yes,26.8%,22.4%,22.4%,-22.4%,,29.8%,20.2%,148.0,"101,777"
Scotts Valley Water District,Central Coast,16%,0%,Yes,25.7%,22.5%,22.5%,-22.5%,,29.6%,24.2%,84.4,"10,309"
Milpitas  City of,San Francisco Bay,12%,0%,Yes,23.1%,22.5%,22.5%,-22.5%,,31.2%,21.4%,59.2,"70,817"
Carmichael Water District,Sacramento River,33%,0%,Yes,31.4%,22.6%,22.6%,-22.6%,,34.7%,18.7%,276.7,"37,897"
California Water Service Company Bear Gulch,San Francisco Bay,36%,2%,Yes,33.5%,24.6%,24.6%,-22.6%,,33.6%,21.7%,186.8,"68,821"
Atascadero Mutual Water Company,Central Coast,28%,0%,Yes,27.5%,22.6%,22.6%,-22.6%,,31.9%,22.0%,134.9,"31,648"
Ventura County Waterworks District No 1,South Coast,30%,0%,Yes,26.2%,22.6%,22.6%,-22.6%,,22.6%,20.4%,151.1,"38,703"
Sunnyslope County Water District,Central Coast,26%,0%,Yes,30.6%,22.7%,22.7%,-22.7%,,31.8%,16.7%,120.5,"19,851"
West Sacramento  City of,Sacramento River,25%,0%,Yes,29.0%,22.7%,22.7%,-22.7%,,37.6%,20.4%,173.6,"50,836"
Riverside Highland Water Company,South Coast,33%,0%,Yes,29.2%,22.7%,22.7%,-22.7%,,32.2%,20.5%,215.6,"15,616"
California Water Service Company South San Francisco,San Francisco Bay,8%,0%,Yes,21.3%,22.7%,22.7%,-22.7%,,21.9%,21.1%,43.4,"61,776"
Morro Bay  City of,Central Coast,12%,0%,Yes,19.1%,22.8%,22.8%,-22.8%,,19.6%,24.5%,62.6,"10,284"
Santa Fe Springs  City of,South Coast,16%,0%,Yes,21.3%,22.9%,22.9%,-22.9%,,24.7%,18.8%,81.4,"18,199"
California-American Water Ventura District,South Coast,30%,0%,Yes,25.7%,22.9%,22.9%,-22.9%,,24.0%,20.3%,159.4,"63,423"
Citrus Heights Water District,Sacramento River,29%,0%,Yes,31.6%,22.9%,22.9%,-22.9%,,38.3%,17.9%,242.4,"65,093"
Linda County Water District,Sacramento River,29%,0%,Yes,27.9%,23.0%,23.0%,-23.0%,,36.3%,19.6%,190.4,"18,808"
Paso Robles  City of,Central Coast,24%,0%,Yes,28.3%,23.0%,23.0%,-23.0%,,34.7%,21.6%,122.4,"30,522"
Palo Alto  City of,San Francisco Bay,24%,0%,Yes,29.5%,23.0%,23.0%,-23.0%,,38.1%,33.2%,95.1,"64,403"
Alco Water Service,Central Coast,24%,0%,Yes,23.6%,23.1%,23.1%,-23.1%,,18.7%,24.7%,98.8,"29,459"
Thousand Oaks  City of,South Coast,26%,0%,Yes,29.5%,23.2%,23.2%,-23.2%,,30.9%,21.6%,135.2,"51,609"
Los Angeles County Public Works Waterworks District 40,South Lahontan,28%,0%,Yes,27.3%,23.3%,23.3%,-23.3%,,35.1%,34.3%,183.2,"207,833"
Mid-Peninsula Water District,San Francisco Bay,20%,0%,Yes,27.2%,23.3%,23.3%,-23.3%,,31.4%,23.3%,99.6,"26,030"
Fresno  City of,Tulare Lake,25%,0%,Yes,26.4%,23.4%,23.4%,-23.4%,,27.5%,18.7%,195.0,"503,077"
Woodland  City of,Sacramento River,20%,0%,Yes,29.9%,23.7%,23.7%,-23.7%,,22.1%,9.4%,117.1,"57,526"
"Perris, City of",South Coast,24%,4%,Yes,20.9%,27.8%,27.8%,-23.8%,,23.1%,26.6%,80.2,"9,000"
Golden State Water Company Barstow,South Lahontan,20%,0%,Yes,23.2%,23.9%,23.9%,-23.9%,,21.2%,16.0%,124.8,"31,209"
Burbank  City of,South Coast,22%,0%,Yes,25.8%,24.0%,24.0%,-24.0%,,27.5%,21.2%,110.1,"105,110"
Santa Barbara  City of,Central Coast,12%,12%,No,36.0%,38.6%,36.0%,-24.0%,,35.8%,41.8%,71.1,"93,426"
Petaluma  City of,San Francisco Bay,16%,0%,Yes,24.5%,24.1%,24.1%,-24.1%,,26.9%,27.8%,78.6,"61,955"
Vacaville  City of,Sacramento River,25%,0%,Yes,23.7%,24.2%,24.2%,-24.2%,,36.8%,20.4%,139.3,"90,194"
San Bernardino County Service Area 64,South Lahontan,28%,0%,Yes,27.5%,24.2%,24.2%,-24.2%,,36.6%,18.7%,159.6,"14,104"
Livermore  City of Division of Water Resources,San Francisco Bay,17%,0%,Yes,31.9%,24.3%,24.3%,-24.3%,,36.0%,22.1%,125.7,"28,782"
East Valley Water District,South Coast,22%,0%,Yes,25.1%,24.3%,24.3%,-24.3%,,27.4%,15.6%,150.7,"104,457"
California Water Service Company Bakersfield,Tulare Lake,29%,0%,Yes,29.2%,24.3%,24.3%,-24.3%,,30.3%,19.2%,201.4,"279,807"
San Clemente  City of,South Coast,24%,0%,Yes,25.0%,24.3%,24.3%,-24.3%,,28.0%,21.7%,106.0,"51,385"
Oakdale  City of,San Joaquin River,30%,0%,Yes,36.1%,24.3%,24.3%,-24.3%,,41.7%,15.9%,228.6,"21,442"
Arcadia  City of,South Coast,34%,0%,Yes,27.3%,24.3%,24.3%,-24.3%,,28.2%,23.0%,158.1,"57,639"
California Water Service Company Los Altos/Suburban,San Francisco Bay,32%,0%,Yes,34.9%,24.4%,24.4%,-24.4%,,37.0%,22.9%,148.3,"69,864"
Grover Beach  City of,Central Coast,8%,8%,No,32.5%,32.4%,32.5%,-24.5%,,32.1%,34.5%,71.7,"13,156"
Desert Water Agency,Colorado River,32%,0%,Yes,26.2%,24.5%,24.5%,-24.5%,,28.9%,18.5%,216.0,"105,719"
Suisun-Solano Water Authority,San Francisco Bay,20%,0%,Yes,26.6%,24.6%,24.6%,-24.6%,,28.5%,25.6%,80.3,"29,510"
Rio Linda - Elverta Community Water District,Sacramento River,33%,0%,Yes,30.7%,24.7%,24.7%,-24.7%,,38.3%,23.7%,268.9,"10,996"
Gilroy  City of,Central Coast,24%,0%,Yes,27.1%,24.8%,24.8%,-24.8%,,32.1%,23.2%,98.7,"55,506"
Fruitridge Vista Water Company,Sacramento River,28%,0%,Yes,28.3%,24.9%,24.9%,-24.9%,,35.7%,24.6%,159.4,"21,441"
Antioch  City of,San Joaquin River,27%,0%,Yes,29.4%,25.1%,25.1%,-25.1%,,34.7%,24.0%,104.1,"112,968"
California Water Service Company Westlake,South Coast,34%,0%,Yes,31.4%,25.1%,25.1%,-25.1%,,33.5%,21.0%,276.2,"19,461"
Golden State Water Company S Arcadia,South Coast,22%,0%,Yes,25.3%,25.2%,25.2%,-25.2%,,28.7%,22.6%,101.5,"26,827"
Alameda County Water District,San Francisco Bay,16%,0%,Yes,27.7%,25.3%,25.3%,-25.3%,,33.5%,22.6%,84.8,"349,000"
Hayward  City of,San Francisco Bay,8%,0%,Yes,23.7%,25.4%,25.4%,-25.4%,,42.4%,26.8%,70.0,"158,985"
Sacramento  City of,Sacramento River,25%,0%,Yes,28.3%,25.4%,25.4%,-25.4%,,33.0%,23.2%,153.4,"485,683"
Poway  City of,South Coast,24%,0%,Yes,28.9%,25.5%,25.5%,-25.5%,,31.8%,21.2%,164.5,"51,789"
South Coast Water District,South Coast,24%,0%,Yes,26.7%,25.7%,25.7%,-25.7%,,31.6%,23.4%,105.8,"35,004"
California Water Service Company Salinas District,Central Coast,16%,0%,Yes,26.5%,25.9%,25.9%,-25.9%,,27.6%,26.7%,67.3,"122,185"
Orange Vale Water Company,Sacramento River,33%,0%,Yes,36.2%,25.9%,25.9%,-25.9%,,37.7%,24.3%,273.2,"16,747"
San Jose Water Company,San Francisco Bay,20%,2%,Yes,31.2%,28.2%,28.2%,-26.2%,,35.6%,28.2%,85.3,"990,000"
California Water Service Company Oroville,Sacramento River,25%,0%,Yes,30.1%,26.2%,26.2%,-26.2%,,27.5%,22.3%,113.8,"11,020"
El Toro Water District,South Coast,24%,0%,Yes,26.8%,26.2%,26.2%,-26.2%,,24.2%,27.7%,105.5,"48,628"
Burlingame  City of,San Francisco Bay,16%,0%,Yes,28.1%,26.5%,26.5%,-26.5%,,29.5%,21.4%,78.1,"31,109"
Triunfo Sanitation District / Oak Park Water Service,South Coast,30%,0%,Yes,33.1%,26.6%,26.6%,-26.6%,,38.4%,21.2%,175.6,"12,200"
Tahoe City Public Utilities District,North Lahontan,17%,0%,Yes,31.0%,26.6%,26.6%,-26.6%,,35.9%,25.0%,112.2,"12,919"
"Kingsburg, City of",Tulare Lake,34%,0%,Yes,36.8%,26.7%,26.7%,-26.7%,,41.0%,24.8%,293.3,"11,685"
Alhambra  City of,South Coast,22%,0%,Yes,24.2%,26.9%,26.9%,-26.9%,,25.7%,24.1%,94.4,"85,068"
California-American Water Company Sacramento District,Sacramento River,17%,0%,Yes,33.5%,27.2%,27.2%,-27.2%,,37.2%,24.6%,121.6,"203,851"
Golden State Water Company Claremont,South Coast,30%,0%,Yes,33.7%,27.3%,27.3%,-27.3%,,43.2%,21.8%,195.2,"37,160"
Carpinteria Valley Water District,Central Coast,20%,0%,Yes,23.0%,27.3%,27.3%,-27.3%,,31.7%,27.9%,95.9,"14,616"
Mountain View  City of,San Francisco Bay,16%,0%,Yes,31.2%,27.4%,27.4%,-27.4%,,41.4%,26.9%,75.5,"76,448"
South Pasadena  City of,South Coast,26%,0%,Yes,27.7%,27.4%,27.4%,-27.4%,,29.7%,29.6%,118.3,"26,174"
Cambria Community Services District,Central Coast,8%,8%,No,35.5%,34.8%,35.5%,-27.5%,,40.4%,37.0%,47.5,"6,032"
Galt  City of,Sacramento River,29%,0%,Yes,31.3%,27.5%,27.5%,-27.5%,,35.5%,25.9%,193.1,"24,289"
Brawley  City of,Colorado River,24%,0%,Yes,38.5%,27.7%,27.7%,-27.7%,,32.3%,17.5%,156.5,"27,743"
"Corcoran, City of",Tulare Lake,32%,0%,Yes,29.4%,27.9%,27.9%,-27.9%,,31.3%,26.9%,215.0,"24,154"
"American Canyon, City of",San Francisco Bay,16%,0%,Yes,27.3%,27.9%,27.9%,-27.9%,,26.4%,26.6%,70.2,"20,315"
Rincon Del Diablo Municipal Water District,South Coast,24%,0%,Yes,29.3%,27.9%,27.9%,-27.9%,,34.9%,23.2%,147.6,"29,955"
Yorba Linda Water District,South Coast,28%,0%,Yes,34.6%,28.0%,28.0%,-28.0%,,41.4%,23.9%,194.3,"71,796"
Great Oaks Water Company Incorporated,San Francisco Bay,20%,0%,Yes,31.8%,28.1%,28.1%,-28.1%,,35.2%,26.5%,82.9,"100,523"
Quartz Hill Water District,South Lahontan,32%,0%,Yes,32.6%,28.2%,28.2%,-28.2%,,36.0%,30.3%,284.7,"20,352"
Apple Valley Ranchos Water Company,South Lahontan,24%,0%,Yes,28.2%,28.2%,28.2%,-28.2%,,31.0%,24.9%,124.6,"62,602"
Contra Costa Water District,San Francisco Bay,25%,0%,Yes,32.8%,28.5%,28.5%,-28.5%,,40.3%,22.1%,118.0,"199,680"
East Orange County Water District,South Coast,29%,0%,Yes,34.7%,28.6%,28.6%,-28.6%,,39.7%,25.6%,249.3,"3,257"
Ripon  City of,San Joaquin River,33%,0%,Yes,30.3%,28.6%,28.6%,-28.6%,,26.7%,26.7%,241.9,"14,915"
Golden State Water Company Orcutt,Central Coast,31%,0%,Yes,35.2%,28.7%,28.7%,-28.7%,,41.2%,28.6%,160.3,"31,872"
Brentwood  City of,San Joaquin River,28%,0%,Yes,36.9%,28.9%,28.9%,-28.9%,,43.4%,27.9%,141.1,"58,784"
California Water Service Company Livermore,San Francisco Bay,21%,0%,Yes,37.4%,29.2%,29.2%,-29.2%,,43.1%,25.8%,130.2,"58,942"
San Jacinto  City of,South Coast,30%,0%,Yes,30.2%,29.7%,29.7%,-29.7%,,28.8%,29.5%,108.5,"17,961"
"California Water Service Company Dixon, City of",Sacramento River,24%,0%,Yes,29.1%,29.7%,29.7%,-29.7%,,31.6%,28.1%,113.9,"10,022"
Pleasanton  City of,San Francisco Bay,24%,0%,Yes,38.0%,29.9%,29.9%,-29.9%,,40.4%,27.9%,137.1,"74,850"
Dinuba  City of,Tulare Lake,29%,0%,Yes,31.9%,30.0%,30.0%,-30.0%,,30.4%,24.9%,138.5,"24,657"
California Water Service Company Willows,Sacramento River,26%,0%,Yes,32.4%,30.5%,30.5%,-30.5%,,32.5%,23.3%,141.8,"7,107"
Valley Center Municipal Water District,South Coast,28%,0%,Yes,34.7%,30.6%,30.6%,-30.6%,,34.3%,27.9%,235.7,"25,608"
Dublin San Ramon Services District,San Francisco Bay,12%,0%,Yes,34.1%,30.8%,30.8%,-30.8%,,42.5%,27.4%,74.8,"82,794"
Hillsborough  Town of,San Francisco Bay,36%,0%,Yes,38.3%,30.8%,30.8%,-30.8%,,40.9%,30.3%,302.1,"10,850"
California Water Service Company Chico District,Sacramento River,29%,0%,Yes,36.3%,31.6%,31.6%,-31.6%,,42.7%,28.3%,177.3,"104,594"
California Water Service Company King City,Central Coast,9%,0%,Yes,24.3%,31.7%,31.7%,-31.7%,,12.3%,37.9%,35.4,"15,119"
San Gabriel Valley Water Company,South Coast,14%,0%,Yes,27.3%,32.4%,32.4%,-32.4%,,36.6%,30.4%,74.1,"271,817"
California Water Service Company Redwood Valley,North Coast,16%,0%,Yes,32.1%,32.8%,32.8%,-32.8%,,37.6%,33.0%,97.9,"3,233"
Paradise Irrigation District,Sacramento River,33%,0%,Yes,36.4%,34.3%,34.3%,-34.3%,,44.6%,28.0%,206.1,"26,032"
Merced  City of,San Joaquin River,34%,0%,Yes,37.7%,36.4%,36.4%,-36.4%,,41.3%,35.3%,208.4,"83,400"
Patterson  City of,San Joaquin River,25%,0%,Yes,34.0%,36.7%,36.7%,-36.7%,,31.2%,32.3%,114.9,"22,590"
North Coast County Water District,San Francisco Bay,8%,0%,Yes,28.7%,37.8%,37.8%,-37.8%,,35.7%,39.6%,49.0,"39,000"
California Water Service Company Selma,Tulare Lake,30%,0%,Yes,39.2%,38.0%,38.0%,-38.0%,,40.0%,36.7%,153.3,"25,194"
Benicia  City of,San Francisco Bay,20%,0%,Yes,41.0%,38.0%,38.0%,-38.0%,,34.9%,37.9%,83.2,"28,086"
California Water Service Company Antelope Valley,South Lahontan,32%,0%,Yes,48.1%,38.8%,38.8%,-38.8%,,38.0%,25.3%,234.5,"3,406"
Del Oro Water Company,Sacramento River,21%,0%,Yes,38.0%,39.7%,39.7%,-39.7%,,43.8%,37.5%,89.4,"9,546"
Menlo Park  City of,San Francisco Bay,16%,0%,Yes,40.7%,39.7%,39.7%,-39.7%,,49.5%,41.2%,100.9,"16,066"
Rainbow Municipal Water District,South Coast,28%,0%,Yes,48.4%,47.9%,47.9%,-47.9%,,38.8%,18.7%,278.0,"19,495"
